driver,vehicle,배송처,condition,shippedbox,주소,customer,SellerOrderKey,특이사항,latitude,longitude
김도윤,21사 6101,강남세브란스병원,Cold,4,서울특별시 강남구 언주로 211,DSV-HEALTH,DSV-DEMO-20260723-001,후문 하역장 이용,37.4929500,127.0461900
김도윤,21사 6101,역삼 진단센터,Cold,2,서울특별시 강남구 테헤란로 152,DSV-HEALTH,DSV-DEMO-20260723-002,도착 전 담당자 연락,37.5006430,127.0365450
김도윤,21사 6101,삼성 연구소,TS03,5,서울특별시 강남구 삼성로 417,DSV-LAB,DSV-DEMO-20260723-003,"보안실 방문 후, 연구동 인계",37.5088440,127.0631600
김도윤,21사 6101,코엑스 메디컬센터,Ambient,3,서울특별시 강남구 영동대로 513,DSV-MEDICAL,DSV-DEMO-20260723-004,,37.5118230,127.0591590
이서연,12바 2302,DMC 검체센터,Cold,6,서울특별시 마포구 월드컵북로 396,DSV-HEALTH,DSV-DEMO-20260723-005,검체 인수증 확인,37.5796300,126.8890830
이서연,12바 2302,공덕 의약품창고,COLD,4,서울특별시 마포구 마포대로 92,DSV-PHARMA,DSV-DEMO-20260723-006,원본 파일 대소문자 검토 후보,37.5443170,126.9516460
이서연,12바 2302,여의도 병원물류실,Ambient,8,서울특별시 영등포구 국제금융로 10,DSV-MEDICAL,DSV-DEMO-20260723-007,지하 3층 하역,37.5250870,126.9248250
박민재,13사 3403,서울아산병원,Cold,7,서울특별시 송파구 올림픽로43길 88,DSV-HEALTH,DSV-DEMO-20260723-008,동관 물류 출입구,37.5265760,127.1089360
박민재,13사 3403,가락 진단센터,TS03,2,서울특별시 송파구 양재대로 932,DSV-LAB,DSV-DEMO-20260723-009,온도기록계 회수,37.4928880,127.1183080
박민재,13사 3403,삼성서울병원,Cold,5,서울특별시 강남구 일원로 81,DSV-HEALTH,DSV-DEMO-20260723-010,응급 검체 우선 인계,37.4882970,127.0851510
